id,sector_name,division_name,district_name,year,source,total_number_of_blocks_in_districts_Number,total_number_of_cooperative_societies_in_districts_Number,total_number_of_female_members_Number,total_number_of_male_members_Number,total_number_of_members_in_societies_Number
1,Animal & Fisheries Department,Bhagalpur,Banka,2025,Animal & Fisheries Department,11,11,979,2850,3829
2,Animal & Fisheries Department,Bhagalpur,Bhagalpur,2025,Animal & Fisheries Department,16,16,3817,16845,20662
3,Animal & Fisheries Department,Darbhanga,Darbhanga,2025,Animal & Fisheries Department,18,18,21702,33909,55611
4,Animal & Fisheries Department,Darbhanga,Madhubani,2025,Animal & Fisheries Department,21,21,6321,15953,22274
5,Animal & Fisheries Department,Darbhanga,Samastipur,2025,Animal & Fisheries Department,20,20,14644,31157,45801
6,Animal & Fisheries Department,Koshi,Madhepura,2025,Animal & Fisheries Department,13,11,1993,8357,10350
7,Animal & Fisheries Department,Koshi,Saharsa,2025,Animal & Fisheries Department,10,10,3792,6907,10699
8,Animal & Fisheries Department,Koshi,Supaul,2025,Animal & Fisheries Department,11,11,2272,3900,6172
9,Animal & Fisheries Department,Magadh,Arwal,2025,Animal & Fisheries Department,5,5,54,475,529
10,Animal & Fisheries Department,Magadh,Aurangabad,2025,Animal & Fisheries Department,11,8,637,2392,3029
11,Animal & Fisheries Department,Magadh,Gaya,2025,Animal & Fisheries Department,24,23,1229,4173,5402
12,Animal & Fisheries Department,Magadh,Jehanabad,2025,Animal & Fisheries Department,7,6,90,731,821
13,Animal & Fisheries Department,Magadh,Nawada,2025,Animal & Fisheries Department,14,10,84,517,601
14,Animal & Fisheries Department,Munger,Begusarai,2025,Animal & Fisheries Department,18,18,8054,16480,24534
15,Animal & Fisheries Department,Munger,Jamui,2025,Animal & Fisheries Department,10,9,33,219,252
16,Animal & Fisheries Department,Munger,Khagaria,2025,Animal & Fisheries Department,7,7,10493,21773,32266
17,Animal & Fisheries Department,Munger,Lakhisarai,2025,Animal & Fisheries Department,7,7,652,1943,2595
18,Animal & Fisheries Department,Munger,Munger,2025,Animal & Fisheries Department,9,9,1685,4480,6165
19,Animal & Fisheries Department,Munger,Sheikhpura,2025,Animal & Fisheries Department,6,6,672,2726,3398
20,Animal & Fisheries Department,Patna,Bhojpur,2025,Animal & Fisheries Department,14,12,671,2651,3322
21,Animal & Fisheries Department,Patna,Buxar,2025,Animal & Fisheries Department,11,9,227,1291,1518
22,Animal & Fisheries Department,Patna,Kaimur(Bhabua),2025,Animal & Fisheries Department,11,11,673,2930,3603
23,Animal & Fisheries Department,Patna,Nalanda,2025,Animal & Fisheries Department,20,18,819,4127,4946
24,Animal & Fisheries Department,Patna,Patna,2025,Animal & Fisheries Department,23,10,1355,3398,4753
25,Animal & Fisheries Department,Patna,Rohtas,2025,Animal & Fisheries Department,19,18,606,4752,5358
26,Animal & Fisheries Department,Purnia,Araria,2025,Animal & Fisheries Department,9,8,624,3845,4469
27,Animal & Fisheries Department,Purnia,Katihar,2025,Animal & Fisheries Department,16,16,7692,20843,28535
28,Animal & Fisheries Department,Purnia,Kishanganj,2025,Animal & Fisheries Department,7,7,696,2755,3451
29,Animal & Fisheries Department,Purnia,Purnia,2025,Animal & Fisheries Department,14,13,5431,11739,17170
30,Animal & Fisheries Department,Saran,Gopalganj,2025,Animal & Fisheries Department,14,14,791,3325,4116
31,Animal & Fisheries Department,Saran,Saran,2025,Animal & Fisheries Department,20,20,4210,13316,17526
32,Animal & Fisheries Department,Saran,Siwan,2025,Animal & Fisheries Department,19,19,1729,8654,10383
33,Animal & Fisheries Department,Tirhut,"East Champaran, Motihari",2025,Animal & Fisheries Department,27,27,19584,51875,71459
34,Animal & Fisheries Department,Tirhut,Muzaffarpur,2025,Animal & Fisheries Department,16,16,13772,24435,38207
35,Animal & Fisheries Department,Tirhut,Sheohar,2025,Animal & Fisheries Department,5,4,393,1261,1654
36,Animal & Fisheries Department,Tirhut,Sitamarhi,2025,Animal & Fisheries Department,17,17,14989,19207,34196
37,Animal & Fisheries Department,Tirhut,Vaishali,2025,Animal & Fisheries Department,16,15,2873,8028,10901
38,Animal & Fisheries Department,Tirhut,"West Champaran, Bettiah",2025,Animal & Fisheries Department,18,17,821,17655,18476
39,Animal & Fisheries Department,Bhagalpur,Banka,2025,Animal & Fisheries Department,11,11,979,2850,3829
40,Animal & Fisheries Department,Bhagalpur,Bhagalpur,2025,Animal & Fisheries Department,16,16,3817,16845,20662
41,Animal & Fisheries Department,Darbhanga,Darbhanga,2025,Animal & Fisheries Department,18,18,21702,33909,55611
42,Animal & Fisheries Department,Darbhanga,Madhubani,2025,Animal & Fisheries Department,21,21,6321,15953,22274
43,Animal & Fisheries Department,Darbhanga,Samastipur,2025,Animal & Fisheries Department,20,20,14644,31157,45801
44,Animal & Fisheries Department,Koshi,Madhepura,2025,Animal & Fisheries Department,13,11,1993,8357,10350
45,Animal & Fisheries Department,Koshi,Saharsa,2025,Animal & Fisheries Department,10,10,3792,6907,10699
46,Animal & Fisheries Department,Koshi,Supaul,2025,Animal & Fisheries Department,11,11,2272,3900,6172
47,Animal & Fisheries Department,Magadh,Arwal,2025,Animal & Fisheries Department,5,5,54,475,529
48,Animal & Fisheries Department,Magadh,Aurangabad,2025,Animal & Fisheries Department,11,8,637,2392,3029
49,Animal & Fisheries Department,Magadh,Gaya,2025,Animal & Fisheries Department,24,23,1229,4173,5402
50,Animal & Fisheries Department,Magadh,Jehanabad,2025,Animal & Fisheries Department,7,6,90,731,821
51,Animal & Fisheries Department,Magadh,Nawada,2025,Animal & Fisheries Department,14,10,84,517,601
52,Animal & Fisheries Department,Munger,Begusarai,2025,Animal & Fisheries Department,18,18,8054,16480,24534
53,Animal & Fisheries Department,Munger,Jamui,2025,Animal & Fisheries Department,10,9,33,219,252
54,Animal & Fisheries Department,Munger,Khagaria,2025,Animal & Fisheries Department,7,7,10493,21773,32266
55,Animal & Fisheries Department,Munger,Lakhisarai,2025,Animal & Fisheries Department,7,7,652,1943,2595
56,Animal & Fisheries Department,Munger,Munger,2025,Animal & Fisheries Department,9,9,1685,4480,6165
57,Animal & Fisheries Department,Munger,Sheikhpura,2025,Animal & Fisheries Department,6,6,672,2726,3398
58,Animal & Fisheries Department,Patna,Bhojpur,2025,Animal & Fisheries Department,14,12,671,2651,3322
59,Animal & Fisheries Department,Patna,Buxar,2025,Animal & Fisheries Department,11,9,227,1291,1518
60,Animal & Fisheries Department,Patna,Kaimur(Bhabua),2025,Animal & Fisheries Department,11,11,673,2930,3603
61,Animal & Fisheries Department,Patna,Nalanda,2025,Animal & Fisheries Department,20,18,819,4127,4946
62,Animal & Fisheries Department,Patna,Patna,2025,Animal & Fisheries Department,23,10,1355,3398,4753
63,Animal & Fisheries Department,Patna,Rohtas,2025,Animal & Fisheries Department,19,18,606,4752,5358
64,Animal & Fisheries Department,Purnia,Araria,2025,Animal & Fisheries Department,9,8,624,3845,4469
65,Animal & Fisheries Department,Purnia,Katihar,2025,Animal & Fisheries Department,16,16,7692,20843,28535
66,Animal & Fisheries Department,Purnia,Kishanganj,2025,Animal & Fisheries Department,7,7,696,2755,3451
67,Animal & Fisheries Department,Purnia,Purnia,2025,Animal & Fisheries Department,14,13,5431,11739,17170
68,Animal & Fisheries Department,Saran,Gopalganj,2025,Animal & Fisheries Department,14,14,791,3325,4116
69,Animal & Fisheries Department,Saran,Saran,2025,Animal & Fisheries Department,20,20,4210,13316,17526
70,Animal & Fisheries Department,Saran,Siwan,2025,Animal & Fisheries Department,19,19,1729,8654,10383
71,Animal & Fisheries Department,Tirhut,"East Champaran, Motihari",2025,Animal & Fisheries Department,27,27,19584,51875,71459
72,Animal & Fisheries Department,Tirhut,Muzaffarpur,2025,Animal & Fisheries Department,16,16,13772,24435,38207
73,Animal & Fisheries Department,Tirhut,Sheohar,2025,Animal & Fisheries Department,5,4,393,1261,1654
74,Animal & Fisheries Department,Tirhut,Sitamarhi,2025,Animal & Fisheries Department,17,17,14989,19207,34196
75,Animal & Fisheries Department,Tirhut,Vaishali,2025,Animal & Fisheries Department,16,15,2873,8028,10901
76,Animal & Fisheries Department,Tirhut,"West Champaran, Bettiah",2025,Animal & Fisheries Department,18,17,821,17655,18476
